name,brName,avgTime,sem,repeats,minValue,maxValue,earliestTime,latestTime
GH-startup,general,204,47,11,118,653,"12/30/2024, 2:53:26 PM","12/30/2024, 2:53:28 PM"
SF-startup,general,146,0,1,146,146,"12/30/2024, 2:53:29 PM","12/30/2024, 2:53:29 PM"
